number,description
Q1,You regularly make new friends.
Q2,You spend a lot of your free time exploring various random topics that pique your interest
Q3,Seeing other people cry can easily make you feel like you want to cry too
Q4,You often make a backup plan for a backup plan.
Q5,"You usually stay calm, even under a lot of pressure"
Q6,"At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know"
Q7,You prefer to completely finish one project before starting another.
Q8,You are very sentimental.
Q9,You like to use organizing tools like schedules and lists.
Q10,Even a small mistake can cause you to doubt your overall abilities and knowledge.
Q11,You feel comfortable just walking up to someone you find interesting and striking up a conversation.
Q12,You are not too interested in discussing various interpretations and analyses of creative works.
Q13,You are more inclined to follow your head than your heart.
Q14,You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.
Q15,You rarely worry about whether you make a good impression on people you meet.
Q16,You enjoy participating in group activities.
Q17,You like books and movies that make you come up with your own interpretation of the ending.
Q18,Your happiness comes more from helping others accomplish things than your own accomplishments.
Q19,You are interested in so many things that you find it difficult to choose what to try next.
Q20,You are prone to worrying that things will take a turn for the worse.
Q21,You avoid leadership roles in group settings.
Q22,You are definitely not an artistic type of person.
Q23,You think the world would be a better place if people relied more on rationality and less on their feelings.
Q24,You prefer to do your chores before allowing yourself to relax.
Q25,You enjoy watching people argue.
Q26,You tend to avoid drawing attention to yourself.
Q27,Your mood can change very quickly.
Q28,You lose patience with people who are not as efficient as you.
Q29,You often end up doing things at the last possible moment.
Q30,"You have always been fascinated by the question of what, if anything, happens after death."
Q31,You usually prefer to be around others rather than on your own.
Q32,You become bored or lose interest when the discussion gets highly theoretical.
Q33,You find it easy to empathize with a person whose experiences are very different from yours.
Q34,You usually postpone finalizing decisions for as long as possible.
Q35,You rarely second-guess the choices that you have made.
Q36,"After a long and exhausting week, a lively social event is just what you need."
Q37,You enjoy going to art museums.
Q38,You often have a hard time understanding other peopleÂ’s feelings.
Q39,You like to have a to-do list for each day.
Q40,You rarely feel insecure.
Q41,You avoid making phone calls.
Q42,You often spend a lot of time trying to understand views that are very different from your own.
Q43,"In your social circle, you are often the one who contacts your friends and initiates activities."
Q44,"If your plans are interrupted, your top priority is to get back on track as soon as possible."
Q45,You are still bothered by mistakes that you made a long time ago.
Q46,You rarely contemplate the reasons for human existence or the meaning of life.
Q47,Your emotions control you more than you control them.
Q48,"You take great care not to make people look bad, even when it is completely their fault."
Q49,Your personal work style is closer to spontaneous bursts of energy than organized and consistent efforts.
Q50,"When someone thinks highly of you, you wonder how long it will take them to feel disappointed in you."
Q51,You would love a job that requires you to work alone most of the time.
Q52,You believe that pondering abstract philosophical questions is a waste of time.
Q53,"You feel more drawn to places with busy, bustling atmospheres than quiet, intimate places."
Q54,You know at first glance how someone is feeling.
Q55,You often feel overwhelmed.
Q56,You complete things methodically without skipping over any steps.
Q57,You are very intrigued by things labeled as controversial.
Q58,You would pass along a good opportunity if you thought someone else needed it more.
Q59,You struggle with deadlines.
Q60,You feel confident that things will work out for you.
